construction,pair,entry_bar,entry_ts,entry_price,exit_bar,exit_ts,exit_price,exit_reason,pnl_pct,mfe_pct,bars_held,signal_score,trend_strength,pullback_depth_pct,distance_from_vwap,compression_ratio,candidate
nr_pause__flat__runner,GIGAUSD,4527,1773699900,0.0021501479999999997,4531,1773702000,0.0022124377875599997,TAKE_PROFIT,0.027969999999999978,0.05202060509323098,4,34.725054796398624,0.006739881375867899,0.0027932960893856437,0.024878936869183264,1.662650602409645,nr_pause__flat__runner
nr_pause__flat__runner,GIGAUSD,6123,1774860000,0.0021931909999999997,6124,1774860600,0.002176821,TREND_LOST,-0.008464010202485751,0.0,1,25.323662325403532,0.008944793178826613,0.0009128251939752771,0.028003138595998105,1.3663366336633735,nr_pause__flat__runner
nr_pause__flat__tight,GIGAUSD,2080,1771284000,0.0023893869999999993,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.008015188414434162,0.0002565511572637124,2,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,nr_pause__flat__tight
nr_pause__flat__tight,GIGAUSD,4527,1773699900,0.0021501479999999997,4531,1773702000,0.002186661813336,TAKE_PROFIT,0.01598200000000013,0.05202060509323098,4,34.725054796398624,0.006739881375867899,0.0027932960893856437,0.024878936869183264,1.662650602409645,nr_pause__flat__tight
nr_pause__flat__tight,GIGAUSD,6123,1774860000,0.0021931909999999997,6124,1774860600,0.002176821,TREND_LOST,-0.008464010202485751,0.0,1,25.323662325403532,0.008944793178826613,0.0009128251939752771,0.028003138595998105,1.3663366336633735,nr_pause__flat__tight
nr_pause__5bps__quick,GIGAUSD,2082,1771284600,0.0023881923064999998,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.007518447638253475,0.0,0,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,nr_pause__5bps__quick
nr_pause__5bps__quick,GIGAUSD,6123,1774860000,0.0021931909999999997,6124,1774860600,0.002176821,TREND_LOST,-0.008464010202485751,0.0,1,25.323662325403532,0.008944793178826613,0.0009128251939752771,0.028003138595998105,1.3663366336633735,nr_pause__5bps__quick
nr_pause__5bps__runner,GIGAUSD,2082,1771284600,0.0023881923064999998,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.007518447638253475,0.0,0,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,nr_pause__5bps__runner
nr_pause__5bps__runner,GIGAUSD,6123,1774860000,0.0021931909999999997,6124,1774860600,0.002176821,TREND_LOST,-0.008464010202485751,0.0,1,25.323662325403532,0.008944793178826613,0.0009128251939752771,0.028003138595998105,1.3663366336633735,nr_pause__5bps__runner
nr_pause__5bps__tight,GIGAUSD,2082,1771284600,0.0023881923064999998,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.007518447638253475,0.0,0,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,nr_pause__5bps__tight
nr_pause__5bps__tight,GIGAUSD,6123,1774860000,0.0021931909999999997,6124,1774860600,0.002176821,TREND_LOST,-0.008464010202485751,0.0,1,25.323662325403532,0.008944793178826613,0.0009128251939752771,0.028003138595998105,1.3663366336633735,nr_pause__5bps__tight
nr_pause__10bps__quick,GIGAUSD,2082,1771284600,0.0023869976129999994,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.007021209624058234,0.0,0,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,nr_pause__10bps__quick
nr_pause__10bps__quick,GIGAUSD,6123,1774860000,0.0021931909999999997,6124,1774860600,0.002176821,TREND_LOST,-0.008464010202485751,0.0,1,25.323662325403532,0.008944793178826613,0.0009128251939752771,0.028003138595998105,1.3663366336633735,nr_pause__10bps__quick
nr_pause__10bps__runner,GIGAUSD,2082,1771284600,0.0023869976129999994,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.007021209624058234,0.0,0,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,nr_pause__10bps__runner
nr_pause__10bps__runner,GIGAUSD,6123,1774860000,0.0021931909999999997,6124,1774860600,0.002176821,TREND_LOST,-0.008464010202485751,0.0,1,25.323662325403532,0.008944793178826613,0.0009128251939752771,0.028003138595998105,1.3663366336633735,nr_pause__10bps__runner
nr_pause__10bps__tight,GIGAUSD,2082,1771284600,0.0023869976129999994,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.007021209624058234,0.0,0,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,nr_pause__10bps__tight
nr_pause__10bps__tight,GIGAUSD,6123,1774860000,0.0021931909999999997,6124,1774860600,0.002176821,TREND_LOST,-0.008464010202485751,0.0,1,25.323662325403532,0.008944793178826613,0.0009128251939752771,0.028003138595998105,1.3663366336633735,nr_pause__10bps__tight
breakout_hold_pause__flat__quick,GIGAUSD,2080,1771284000,0.0023893869999999993,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.008015188414434162,0.0002565511572637124,2,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,breakout_hold_pause__flat__quick
breakout_hold_pause__flat__quick,GIGAUSD,4527,1773699900,0.0021501479999999997,4531,1773702000,0.002195253804744,TAKE_PROFIT,0.01997800000000015,0.05202060509323098,4,34.725054796398624,0.006739881375867899,0.0027932960893856437,0.024878936869183264,1.662650602409645,breakout_hold_pause__flat__quick
breakout_hold_pause__flat__runner,GIGAUSD,2080,1771284000,0.0023893869999999993,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.008015188414434162,0.0002565511572637124,2,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,breakout_hold_pause__flat__runner
breakout_hold_pause__flat__runner,GIGAUSD,4527,1773699900,0.0021501479999999997,4531,1773702000,0.0022124377875599997,TAKE_PROFIT,0.027969999999999978,0.05202060509323098,4,34.725054796398624,0.006739881375867899,0.0027932960893856437,0.024878936869183264,1.662650602409645,breakout_hold_pause__flat__runner
breakout_hold_pause__flat__tight,GIGAUSD,2080,1771284000,0.0023893869999999993,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.008015188414434162,0.0002565511572637124,2,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,breakout_hold_pause__flat__tight
breakout_hold_pause__flat__tight,GIGAUSD,4527,1773699900,0.0021501479999999997,4531,1773702000,0.002186661813336,TAKE_PROFIT,0.01598200000000013,0.05202060509323098,4,34.725054796398624,0.006739881375867899,0.0027932960893856437,0.024878936869183264,1.662650602409645,breakout_hold_pause__flat__tight
breakout_hold_pause__5bps__quick,GIGAUSD,2082,1771284600,0.0023881923064999998,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.007518447638253475,0.0,0,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,breakout_hold_pause__5bps__quick
breakout_hold_pause__5bps__runner,GIGAUSD,2082,1771284600,0.0023881923064999998,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.007518447638253475,0.0,0,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,breakout_hold_pause__5bps__runner
breakout_hold_pause__5bps__tight,GIGAUSD,2082,1771284600,0.0023881923064999998,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.007518447638253475,0.0,0,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,breakout_hold_pause__5bps__tight
breakout_hold_pause__10bps__quick,GIGAUSD,2082,1771284600,0.0023869976129999994,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.007021209624058234,0.0,0,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,breakout_hold_pause__10bps__quick
breakout_hold_pause__10bps__runner,GIGAUSD,2082,1771284600,0.0023869976129999994,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.007021209624058234,0.0,0,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,breakout_hold_pause__10bps__runner
breakout_hold_pause__10bps__tight,GIGAUSD,2082,1771284600,0.0023869976129999994,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.007021209624058234,0.0,0,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,breakout_hold_pause__10bps__tight
score_pause__flat__quick,GIGAUSD,6123,1774860000,0.0021911889999999996,6124,1774860600,0.002176821,TREND_LOST,-0.007557170558997808,0.0,1,25.323662325403532,0.008944793178826613,0.0009128251939752771,0.028003138595998105,1.3663366336633735,score_pause__flat__quick
score_pause__flat__runner,GIGAUSD,6123,1774860000,0.0021911889999999996,6124,1774860600,0.002176821,TREND_LOST,-0.007557170558997808,0.0,1,25.323662325403532,0.008944793178826613,0.0009128251939752771,0.028003138595998105,1.3663366336633735,score_pause__flat__runner
score_pause__flat__tight,GIGAUSD,6123,1774860000,0.0021911889999999996,6124,1774860600,0.002176821,TREND_LOST,-0.007557170558997808,0.0,1,25.323662325403532,0.008944793178826613,0.0009128251939752771,0.028003138595998105,1.3663366336633735,score_pause__flat__tight
score_pause__5bps__quick,GIGAUSD,2082,1771284600,0.0023873849999999997,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.007182496748534463,0.0,0,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,score_pause__5bps__quick
score_pause__5bps__quick,GIGAUSD,6123,1774860000,0.0021911889999999996,6124,1774860600,0.002176821,TREND_LOST,-0.007557170558997808,0.0,1,25.323662325403532,0.008944793178826613,0.0009128251939752771,0.028003138595998105,1.3663366336633735,score_pause__5bps__quick
score_pause__5bps__runner,GIGAUSD,2082,1771284600,0.0023873849999999997,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.007182496748534463,0.0,0,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,score_pause__5bps__runner
score_pause__5bps__runner,GIGAUSD,6123,1774860000,0.0021911889999999996,6124,1774860600,0.002176821,TREND_LOST,-0.007557170558997808,0.0,1,25.323662325403532,0.008944793178826613,0.0009128251939752771,0.028003138595998105,1.3663366336633735,score_pause__5bps__runner
score_pause__5bps__tight,GIGAUSD,2082,1771284600,0.0023873849999999997,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.007182496748534463,0.0,0,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,score_pause__5bps__tight
score_pause__5bps__tight,GIGAUSD,6123,1774860000,0.0021911889999999996,6124,1774860600,0.002176821,TREND_LOST,-0.007557170558997808,0.0,1,25.323662325403532,0.008944793178826613,0.0009128251939752771,0.028003138595998105,1.3663366336633735,score_pause__5bps__tight
score_pause__10bps__quick,GIGAUSD,2082,1771284600,0.0023869976129999994,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.007021209624058234,0.0,0,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,score_pause__10bps__quick
score_pause__10bps__quick,GIGAUSD,6123,1774860000,0.0021911889999999996,6124,1774860600,0.002176821,TREND_LOST,-0.007557170558997808,0.0,1,25.323662325403532,0.008944793178826613,0.0009128251939752771,0.028003138595998105,1.3663366336633735,score_pause__10bps__quick
score_pause__10bps__runner,GIGAUSD,2082,1771284600,0.0023869976129999994,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.007021209624058234,0.0,0,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,score_pause__10bps__runner
score_pause__10bps__runner,GIGAUSD,6123,1774860000,0.0021911889999999996,6124,1774860600,0.002176821,TREND_LOST,-0.007557170558997808,0.0,1,25.323662325403532,0.008944793178826613,0.0009128251939752771,0.028003138595998105,1.3663366336633735,score_pause__10bps__runner
score_pause__10bps__tight,GIGAUSD,2082,1771284600,0.0023869976129999994,2082,1771284600,0.0023726249999999997,TREND_LOST,-0.007021209624058234,0.0,0,16.649257248713894,0.008947286029976123,0.003759398496240557,0.02650873237165801,1.2611464968152826,score_pause__10bps__tight
score_pause__10bps__tight,GIGAUSD,6123,1774860000,0.0021911889999999996,6124,1774860600,0.002176821,TREND_LOST,-0.007557170558997808,0.0,1,25.323662325403532,0.008944793178826613,0.0009128251939752771,0.028003138595998105,1.3663366336633735,score_pause__10bps__tight
