construction,pair,entry_bar,entry_ts,entry_price,exit_bar,exit_ts,exit_price,exit_reason,pnl_pct,mfe_pct,bars_held,signal_score,trend_strength,pullback_depth_pct,distance_from_vwap,compression_ratio,candidate,cost_model
score_filtered_ema__flat__runner,HYPEUSD,14272,1774335600,38.122371783555884,14280,1774338000,38.44152,TIME_LIMIT,0.00737167787608056,0.011217251090042894,8,0.2314182750366054,0.0008920073487331792,0.00026232948583415557,0.011957134742073485,0.7450980392156863,score_filtered_ema__flat__runner,maker_mid_passive_0.0010
score_filtered_ema__5bps__quick,HYPEUSD,958,1770105900,37.311915556407286,959,1770106200,36.939132208083215,STOP_LOSS,-0.010991000000000133,0.0037008135747939415,1,5.094220719208907,0.00179711686857302,0.007200000000000083,0.022928980182864774,0.8227424749163921,score_filtered_ema__5bps__quick,maker_mid_passive_0.0010
score_filtered_ema__5bps__quick,HYPEUSD,8028,1772392200,31.656270576446747,8028,1772392200,31.55841,TREND_LOST,-0.0040913488754281795,0.0016972758500879716,0,4.215767756704689,0.005725997219281571,0.008170961659333802,0.01806597017227663,0.9780219780219805,score_filtered_ema__5bps__quick,maker_mid_passive_0.0010
score_filtered_ema__5bps__quick,HYPEUSD,10002,1773035400,30.91469655263666,10002,1773035400,30.90906,TREND_LOST,-0.001182325989422605,0.004376670724649298,0,1.3838221848903824,0.0032225077778057975,0.001613423685059605,0.011620545092289996,1.177664974619303,score_filtered_ema__5bps__quick,maker_mid_passive_0.0010
score_filtered_ema__5bps__quick,HYPEUSD,10511,1773191700,34.448748723343265,10511,1773191700,34.345620000000004,TREND_LOST,-0.003993685610223002,0.0009071817646472525,0,10.399538922197573,0.0039077099960914685,0.0005798782255727204,0.0037447433921729643,1.0684931506849091,score_filtered_ema__5bps__quick,maker_mid_passive_0.0010
score_filtered_ema__5bps__quick,HYPEUSD,10527,1773196500,34.617407555199456,10529,1773197100,34.48548,TREND_LOST,-0.004811017765818758,0.005274584600518878,2,10.10084740714922,0.0032435576223633967,0.0008663008951776245,0.004464523771583526,0.5897435897436355,score_filtered_ema__5bps__quick,maker_mid_passive_0.0010
score_filtered_ema__5bps__quick,HYPEUSD,11979,1773639900,38.312477825536035,11982,1773640800,38.22174,TREND_LOST,-0.003368362233036254,0.007243649855478517,3,5.0193634466116785,0.004679985065746614,0.0026014568158167096,0.016470058486083912,0.9393939393939428,score_filtered_ema__5bps__quick,maker_mid_passive_0.0010
score_filtered_ema__5bps__quick,HYPEUSD,12074,1773668400,39.59459851579339,12076,1773669000,39.199008882022106,STOP_LOSS,-0.010990999999999883,0.0026620167436365665,2,19.36753251406817,0.002800121892002972,0.0022692889561269874,0.024809182874496388,0.9729729729729736,score_filtered_ema__5bps__quick,maker_mid_passive_0.0010
score_filtered_ema__5bps__quick,HYPEUSD,14272,1774335600,38.122371783555884,14278,1774337400,38.38158,TIME_LIMIT,0.005799372765047238,0.011217251090042894,6,0.2314182750366054,0.0008920073487331792,0.00026232948583415557,0.011957134742073485,0.7450980392156863,score_filtered_ema__5bps__quick,maker_mid_passive_0.0010
score_filtered_ema__5bps__runner,HYPEUSD,958,1770105900,37.311915556407286,959,1770106200,36.90185760444236,STOP_LOSS,-0.011990000000000185,0.0037008135747939415,1,5.094220719208907,0.00179711686857302,0.007200000000000083,0.022928980182864774,0.8227424749163921,score_filtered_ema__5bps__runner,maker_mid_passive_0.0010
score_filtered_ema__5bps__runner,HYPEUSD,8028,1772392200,31.656270576446747,8028,1772392200,31.55841,TREND_LOST,-0.0040913488754281795,0.0016972758500879716,0,4.215767756704689,0.005725997219281571,0.008170961659333802,0.01806597017227663,0.9780219780219805,score_filtered_ema__5bps__runner,maker_mid_passive_0.0010
score_filtered_ema__5bps__runner,HYPEUSD,10002,1773035400,30.91469655263666,10002,1773035400,30.90906,TREND_LOST,-0.001182325989422605,0.004376670724649298,0,1.3838221848903824,0.0032225077778057975,0.001613423685059605,0.011620545092289996,1.177664974619303,score_filtered_ema__5bps__runner,maker_mid_passive_0.0010
score_filtered_ema__5bps__runner,HYPEUSD,10511,1773191700,34.448748723343265,10511,1773191700,34.345620000000004,TREND_LOST,-0.003993685610223002,0.0009071817646472525,0,10.399538922197573,0.0039077099960914685,0.0005798782255727204,0.0037447433921729643,1.0684931506849091,score_filtered_ema__5bps__runner,maker_mid_passive_0.0010
score_filtered_ema__5bps__runner,HYPEUSD,10527,1773196500,34.617407555199456,10529,1773197100,34.48548,TREND_LOST,-0.004811017765818758,0.005274584600518878,2,10.10084740714922,0.0032435576223633967,0.0008663008951776245,0.004464523771583526,0.5897435897436355,score_filtered_ema__5bps__runner,maker_mid_passive_0.0010
score_filtered_ema__5bps__runner,HYPEUSD,11979,1773639900,38.312477825536035,11982,1773640800,38.22174,TREND_LOST,-0.003368362233036254,0.007243649855478517,3,5.0193634466116785,0.004679985065746614,0.0026014568158167096,0.016470058486083912,0.9393939393939428,score_filtered_ema__5bps__runner,maker_mid_passive_0.0010
score_filtered_ema__5bps__runner,HYPEUSD,12074,1773668400,39.59459851579339,12077,1773669300,39.19076999999999,TREND_LOST,-0.011199080958790925,0.0026620167436365665,3,19.36753251406817,0.002800121892002972,0.0022692889561269874,0.024809182874496388,0.9729729729729736,score_filtered_ema__5bps__runner,maker_mid_passive_0.0010
score_filtered_ema__5bps__runner,HYPEUSD,14272,1774335600,38.122371783555884,14280,1774338000,38.44152,TIME_LIMIT,0.00737167787608056,0.011217251090042894,8,0.2314182750366054,0.0008920073487331792,0.00026232948583415557,0.011957134742073485,0.7450980392156863,score_filtered_ema__5bps__runner,maker_mid_passive_0.0010
score_filtered_ema__10bps__quick,HYPEUSD,958,1770105900,37.311915556407286,959,1770106200,36.939132208083215,STOP_LOSS,-0.010991000000000133,0.0037008135747939415,1,5.094220719208907,0.00179711686857302,0.007200000000000083,0.022928980182864774,0.8227424749163921,score_filtered_ema__10bps__quick,maker_mid_passive_0.0010
score_filtered_ema__10bps__quick,HYPEUSD,8028,1772392200,31.656270576446747,8028,1772392200,31.55841,TREND_LOST,-0.0040913488754281795,0.0016972758500879716,0,4.215767756704689,0.005725997219281571,0.008170961659333802,0.01806597017227663,0.9780219780219805,score_filtered_ema__10bps__quick,maker_mid_passive_0.0010
score_filtered_ema__10bps__quick,HYPEUSD,10002,1773035400,30.91469655263666,10002,1773035400,30.90906,TREND_LOST,-0.001182325989422605,0.004376670724649298,0,1.3838221848903824,0.0032225077778057975,0.001613423685059605,0.011620545092289996,1.177664974619303,score_filtered_ema__10bps__quick,maker_mid_passive_0.0010
score_filtered_ema__10bps__quick,HYPEUSD,10511,1773191700,34.448748723343265,10511,1773191700,34.345620000000004,TREND_LOST,-0.003993685610223002,0.0009071817646472525,0,10.399538922197573,0.0039077099960914685,0.0005798782255727204,0.0037447433921729643,1.0684931506849091,score_filtered_ema__10bps__quick,maker_mid_passive_0.0010
score_filtered_ema__10bps__quick,HYPEUSD,10527,1773196500,34.617407555199456,10529,1773197100,34.48548,TREND_LOST,-0.004811017765818758,0.005274584600518878,2,10.10084740714922,0.0032435576223633967,0.0008663008951776245,0.004464523771583526,0.5897435897436355,score_filtered_ema__10bps__quick,maker_mid_passive_0.0010
score_filtered_ema__10bps__quick,HYPEUSD,11979,1773639900,38.312477825536035,11982,1773640800,38.22174,TREND_LOST,-0.003368362233036254,0.007243649855478517,3,5.0193634466116785,0.004679985065746614,0.0026014568158167096,0.016470058486083912,0.9393939393939428,score_filtered_ema__10bps__quick,maker_mid_passive_0.0010
score_filtered_ema__10bps__quick,HYPEUSD,12074,1773668400,39.59459851579339,12076,1773669000,39.199008882022106,STOP_LOSS,-0.010990999999999883,0.0026620167436365665,2,19.36753251406817,0.002800121892002972,0.0022692889561269874,0.024809182874496388,0.9729729729729736,score_filtered_ema__10bps__quick,maker_mid_passive_0.0010
score_filtered_ema__10bps__quick,HYPEUSD,14272,1774335600,38.11996187999999,14278,1774337400,38.38158,TIME_LIMIT,0.005863021553472985,0.011281179172050269,6,0.2314182750366054,0.0008920073487331792,0.00026232948583415557,0.011957134742073485,0.7450980392156863,score_filtered_ema__10bps__quick,maker_mid_passive_0.0010
score_filtered_ema__10bps__runner,HYPEUSD,958,1770105900,37.311915556407286,959,1770106200,36.90185760444236,STOP_LOSS,-0.011990000000000185,0.0037008135747939415,1,5.094220719208907,0.00179711686857302,0.007200000000000083,0.022928980182864774,0.8227424749163921,score_filtered_ema__10bps__runner,maker_mid_passive_0.0010
